,CI_NAME,EQUIPTYPE
737,ACAC00,BTS
738,ACAC01,BTS
739,ACAC02,BTS
740,ACAI01,BTS
741,ACAI02,BTS
742,ACAI03,BTS
743,ACAU00,BTS
744,ACEU01,BTS
745,ACLD01,BTS
746,ACLS01,BTS
747,ACRD01,BTS
767,ACRD02,BTS
768,ACVR01,BTS
769,ADAD00,BTS
770,ADAD01,BTS
771,ADMC01,BTS
772,ADMM01,BTS
773,ADWO01,BTS
774,AEAE00,BTS
775,AECS01,BTS
776,AECT01,BTS
777,AERD01,BTS
778,AFAF00,BTS
782,AFAF02,BTS
783,MRCV01,BTS
784,PDRD01,BTS
785,POVG09,BTS
786,SACB12,BTS
787,SACD10,BTS
788,SAFE01,BTS
789,SAPI06,BTS
790,SAPI14,BTS
791,SAPI18,BTS
792,SCAR08,BTS
793,AFAF03,BTS
794,AFCT01,BTS
795,CFJZ01,BTS
796,CFJZ03,BTS
797,CFUR64,BTS
798,CGAR01,BTS
799,CGEN01,BTS
800,CGEN02,BTS
801,CGIN02,BTS
802,CGIN03,BTS
803,CGJF20,BTS
804,CGJZ01,BTS
805,CGJZ02,BTS
806,CGJZ04,BTS
807,CGMG01,BTS
808,CGMM01,BTS
809,CGPA01,BTS
810,CGPN01,BTS
811,CGRO01,BTS
812,CGTB01,BTS
813,CGTT01,BTS
814,CGTT03,BTS
815,CGVG23,BTS
816,CGVH07,BTS
817,CHAC01,BTS
818,CHCN01,BTS
819,CHFS02,BTS
820,CHGV06,BTS
821,CHGV07,BTS
822,CHUR65,BTS
823,CHVG44,BTS
824,CHVG68,BTS
825,CIBH11,BTS
826,CIIT01,BTS
827,CIJF17,BTS
828,CIJF38,BTS
829,CIJF89,BTS
830,CIVG73,BTS
831,CJAB01,BTS
832,CJAC01,BTS
833,CJBV03,BTS
834,CJDV11,BTS
835,HTCT01,BTS
836,HWCT01,BTS
837,HZCT01,BTS
838,IAAR01,BTS
839,IACT01,BTS
840,IADV28,BTS
841,IADV63,BTS
842,IADV64,BTS
843,IAVC01,BTS
844,IAVC02,BTS
845,IBBB01,BTS
846,IBCE02,BTS
847,IBCT01,BTS
848,KPLR02,BTS
849,KRCE99,BTS
850,KSMO01,BTS
851,KSMO02,BTS
888,KTCE01,BTS
895,KTCE02,BTS
900,KTCL01,BTS
901,KTCR01,BTS
902,KTRD01,BTS
903,KTSC01,BTS
904,KTVR01,BTS
905,KUMO01,BTS
906,KVEH51,BTS
907,KYCE01,BTS
908,KZCE01,BTS
909,LACE01,BTS
910,LACE02,BTS
911,FXCE01,BTS
912,FXCE02,BTS
913,FZJD01,BTS
914,FZVN01,BTS
915,GACE01,BTS
916,GALO01,BTS
917,GALO02,BTS
918,GALO03,BTS
919,GALO04,BTS
920,GALO05,BTS
921,GBCE01,BTS
922,GCAR01,BTS
923,GCMO01,BTS
924,GEAM02,BTS
925,GEAM03,BTS
926,GEAM51,BTS
927,GIJG02,BTS
928,GIJG03,BTS
929,GIJG51,BTS
930,GKCE01,BTS
931,GLIR01,BTS
932,GLIR02,BTS
933,GLMO01,BTS
934,GLVO01,BTS
935,GMCT01,BTS
936,GMMO01,BTS
937,GNRS51,BTS
938,GOMO01,BTS
939,GOVL01,BTS
951,GOXI01,BTS
952,GPBT01,BTS
953,GPCE01,BTS
954,MRAR02,BTS
955,MTXR01,BTS
956,NAVR01,BTS
957,NELR01,BTS
958,NMTR01,BTS
959,NNIR01,BTS
960,NOBR01,BTS
961,NOPD01,BTS
962,NOVR01,BTS
963,NPTR01,BTS
964,NVPS01,BTS
965,NVPS03,BTS
966,NVPS05,BTS
967,NVPS06,BTS
968,PALM01,BTS
982,SRMC50,BTS
983,SRSB02,BTS
984,SRTP01,BTS
985,SRVA01,BTS
986,SRVG01,BTS
987,SRVG07,BTS
988,SRVH09,BTS
989,SRVL01,BTS
990,SRZD01,BTS
991,PNAL01,BTS
992,PNCE01,BTS
993,PNCP01,BTS
994,PNCR01,BTS
995,PNOC01,BTS
