CI_NAME,EQUIPTYPE
RMAGSPO-SPVF06-01,ROTEADOR
RMAGSPO-SUD01-02,ROTEADOR
RMAGSPO-SUD01-03,ROTEADOR
RMAGSTS-STCP01-01,ROTEADOR
RMAGSTS-STPP01-01,ROTEADOR
RMAGSVE-SVJC01-01,ROTEADOR
RMAGSVE-SVST01-01,ROTEADOR
RMAGSZN-SZJM01-01,ROTEADOR
RMCOBHE0101,ROTEADOR
RMCOBHE0102,ROTEADOR
RMCOBHPA0801,ROTEADOR
RMCOBHPA0802,ROTEADOR
RMCOBLM0101,ROTEADOR
RMCOBLM0102,ROTEADOR
RMCOBNU0101,ROTEADOR
RMCOBNU0102,ROTEADOR
RMCOCEM0101,ROTEADOR
RMCOCTA0101,ROTEADOR
RMCOCTA0102,ROTEADOR
RMCOFOZ0101,ROTEADOR
RMCOFOZ0102,ROTEADOR
RMCOJFA0201,ROTEADOR
RMCOJFA0202,ROTEADOR
RMCOMCL0201,ROTEADOR
RMCOMCL0202,ROTEADOR
RMCOMGA0101,ROTEADOR
RMCOMGA0102,ROTEADOR
RMCORCE0201,ROTEADOR
RMCORCE0202,ROTEADOR
RMCORJO0101,ROTEADOR
RMCORJO0201,ROTEADOR
RMCORP0001,ROTEADOR
RMCOSNE0101,ROTEADOR
RMCOSPO0101,ROTEADOR
RMCOSPO0102,ROTEADOR
RMCOSPO0301,ROTEADOR
RMCOSTS0101,ROTEADOR
RMCOSTS0102,ROTEADOR
RMDIRJO-CAM01-01,ROTEADOR
RMDIRJO-RJO03-01,ROTEADOR
INTG-OFFICERLASER102_1,PDH
INTG-OFFICERPA104MD01,SWITCH
INTG-ONCOAS4701_1,PDH
INTG-OPERAUNIESTEDF140_1,PDH
CBFR05,BTS
CBFR07,BTS
CBFR08,BTS
CBFR09,BTS
CBFR10,BTS
CBFR11,BTS
CBJA51,BTS
CBMO01,BTS
CBMR02,BTS
CBMR03,BTS
CBMR04,BTS
CBUS01,BTS
CCAC01,BTS
CCAS01,BTS
CCBR01,BTS
CCBV02,BTS
CCCO01,BTS
CCEF01,BTS
