item,CLOUD,MONITORACAO_AREA,MONITORACAO_REDE,EQUIPAMENTO_FUNCAO,EQUIPAMENTO_SEGMENTO,EQUIPAMENTO_TECNOLOGIA,EQUIPAMENTO_TIPO,CLASSIFICACAO_AUTOMATICA,
109,ISOC-TX-WIFI_1,iSOC Transporte,Dados,Acesso,WIFI,WiFi,ACW,"SELECT NODEID FROM CRAMER.NODE_O WHERE REGEXP_LIKE (UPPER(NAME), 'ASW[A-Z]{3}[0-9]{3}.*');",
108,ISOC-TX-WiFi,iSOC Transporte,Dados,Acesso,WIFI,WiFi,AP,,
110,ISOC-TX-WIFI_2,iSOC Transporte,Dados,Acesso,WIFI,WiFi,AP,"SELECT NODEID FROM CRAMER.NODE_O WHERE REGEXP_LIKE (UPPER(NAME), '^[A-Z]{2}-[A-Z]{3}-(RAP|SWT|MAP)-[0-9]{4}.*');",
47,ISOC-TX-RTBA,iSOC Transporte,Dados,Core,Backbone IP,Dados,BRAS,"SELECT NODEID FROM CRAMER.NODE_O WHERE REGEXP_LIKE (UPPER(NAME), '^RTBA[A-Z]{3}[0-9]{4}.*');",
4,ISOC-SM-Dados_1,iSOC Services Monitoring,Dados,Servico,Nao Classificado,Dados,DNS,,
11,ISOC-SM-Voz_1,iSOC Services Monitoring,NGN,Voz,Rede de Voz,Voz,IMSS,,
28,ISOC-TX-MSAN,iSOC Transporte,Dados,Acesso,Banda Larga,Live,MSAN,"SELECT NODEID FROM CRAMER.NODE_O WHERE REGEXP_LIKE (UPPER(NAME), '[A-Z]{5}_MSAN[0-9]{4}') AND (ALIAS1 LIKE '%M' OR ALIAS1 LIKE '%B');",
30,ISOC-TX-OLT,iSOC Transporte,Dados,Acesso,Banda Larga,OLT FTTH,MSAN,"SELECT NODEID FROM CRAMER.NODE_O WHERE REGEXP_LIKE (UPPER(NAME), '[A-Z]{5}_MSAN[0-9]{4}') AND ALIAS1 LIKE '%H' OR ALIAS1 IS NULL;",
1,ISOC-SM-AAA,iSOC Services Monitoring,Roaming,Servico,VAS,AAA,Nao Classificado,,
2,ISOC-SM-Common_1,iSOC Services Monitoring,Roaming,Servico,Rede de Sinalizacao,Common,Nao Classificado,,
3,ISOC-SM-Common_2,iSOC Services Monitoring,Dados,Servico,Nao Classificado,Common,Nao Classificado,,
5,ISOC-SM-Dados_2,iSOC Services Monitoring,Dados,Servico,Nao Classificado,Dados,Nao Classificado,,
6,ISOC-SM-Dados_3,iSOC Services Monitoring,Roaming,Servico,Nao Classificado,Dados,Nao Classificado,,
9,ISOC-SM-LTE_1,iSOC Services Monitoring,VoLTE,Servico,Nao Classificado,LTE,Nao Classificado,,
10,ISOC-SM-LTE_2,iSOC Services Monitoring,Dados,Servico,Rede de Voz,LTE,Nao Classificado,,
12,ISOC-SM-Voz_2,iSOC Services Monitoring,Roaming,Servico,Nao Classificado,Voz,Nao Classificado,,
7,ISOC-SM-Dados_4,iSOC Services Monitoring,Dados,Servico,Outras aplicacoes,Dados,OTT,,
8,ISOC-SM-Live,iSOC Services Monitoring,Dados,Servico,Banda Larga,Live,OTT,,
25,ISOC-TX-Metro-PDH-LEG,iSOC Transporte,Transmissao,Acesso,Metropolitana TX,Metro,PDH,,
21,ISOC-TX-FTTS-AC,iSOC Transporte,Transmissao,Acesso,Metropolitana TX,FTTS,PTN,,
22,ISOC-TX-FTTS-AG,iSOC Transporte,Transmissao,Agregador,Metropolitana TX,FTTS,PTN,,
